Name,Latitude,Longitude,Diameter
Hamilton,-42.80,84.70,57.0
Hanno,-56.30,71.20,56.0
Hansen,14.00,72.50,39.0
Hansteen,-11.50,-52.00,44.0
Harden,5.50,143.50,15.0
Harding,43.50,-71.70,22.0
Haret,-58.40,-175.60,29.0
Hargreaves,-2.20,64.00,16.0
Harkhebi,39.60,98.30,237.0
Harold,-10.90,-6.00,2.0
Harpalus,52.60,-43.40,39.0
Harriot,33.10,114.30,56.0
Hartmann,3.20,135.30,61.0
Hartwig,-6.10,-80.50,79.0
Harvey,19.50,-146.50,60.0
Hase,-29.40,62.50,83.0
Hatanaka,29.70,-121.50,26.0
Hausen,-65.00,-88.10,167.0
Hayford,12.70,-176.40,27.0
Hayn,64.70,85.20,87.0
Healy,32.80,-110.50,38.0
Heaviside,-10.40,167.10,165.0
Hecataeus,-21.80,79.40,167.0
Hédervári,-81.80,84.00,69.0
Hedin,2.00,-76.50,150.0
Heinrich,24.80,-15.30,6.0
Heinsius,-39.50,-17.70,64.0
Heis,32.40,-31.90,14.0
Helberg,22.50,-102.20,62.0
Helicon,40.40,-23.10,24.0
Hell,-32.40,-7.80,33.0
Helmert,-7.60,87.60,26.0
Helmholtz,-68.10,64.10,94.0
Henderson,4.80,152.10,47.0
Hendrix,-46.60,-159.20,18.0
Henry,-24.00,-56.80,41.0
Henry Fréres,-23.50,-58.90,42.0
Henyey,13.50,-151.60,63.0
Heraclitus,-49.20,6.20,90.0
Hercules,46.70,39.10,69.0
Herigonius,-13.30,-33.90,15.0
Hermann,-0.90,-57.00,15.0
Hermite,86.00,-89.90,104.0
Herodotus,23.20,-49.70,34.0
Heron (Hero),0.70,119.80,24.0
Herschel,-5.70,-2.10,40.0
Hertz,13.40,104.50,90.0
Hertzsprung,2.60,-129.20,591.0
Hesiodus,-29.40,-16.30,42.0
Hess,-54.30,174.60,88.0
Hevelius,2.20,-67.60,115.0
Heymans,75.30,-144.10,50.0
Heyrovsky,-39.60,-95.30,16.0
Hilbert,-17.90,108.20,151.0
Hill,20.90,40.80,16.0
Hind,-7.90,7.40,29.0
Hippalus,-24.80,-30.20,57.0
Hipparchus,-5.10,5.20,138.0
Hippocrates,70.70,-145.90,60.0
Hirayama,-6.10,93.50,132.0
Hoffmeister,15.20,136.90,45.0
Hogg,33.60,121.90,38.0
Hohmann,-17.90,-94.10,16.0
Holden,-19.10,62.50,47.0
Holetschek,-27.60,150.90,38.0
Hommel,-54.70,33.80,126.0
Hooke,41.20,54.90,36.0
Hopmann,-50.80,160.30,88.0
Hornsby,23.80,12.50,3.0
Horrebow,58.70,-40.80,24.0
Horrocks,-4.00,5.90,30.0
Hortensius,6.50,-28.00,14.0
Houtermans,-9.40,87.20,29.0
Houzeau,-17.10,-123.50,71.0
Hubble,22.10,86.90,80.0
Huggins,-41.10,-1.40,65.0
Humason,30.70,-56.60,4.0
Humboldt,-27.00,80.90,189.0
Hume,-4.70,90.40,23.0
Hutton,37.30,168.70,50.0
Huxley,20.20,-4.50,4.0
Hyginus,7.80,6.30,9.0
Hypatia,-4.30,22.60,40.0
Ian,25.70,-0.40,1.0
Ibn Battuta,-6.90,50.40,11.0
Ibn Firnas,6.80,122.30,89.0
Ibn Yunus,14.10,91.10,58.0
Ibn-Rushd,-11.70,21.70,32.0
Icarus,-5.30,-173.20,96.0
